,location,side_a,side_a_2nd,side_b,side_b_2nd,incompatibility,territory_name,cumulative_intensity,type_of_conflict,type_of_conflict_name,start_date,start_date2,ep_end,region,region_name
355,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
356,Myanmar (Burma),Government of Myanmar (Burma),,KNUP,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
357,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
358,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
359,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
360,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
361,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
362,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
363,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
364,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
365,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
366,Myanmar (Burma),Government of Myanmar (Burma),,"KNU, KNUP",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
367,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
368,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
369,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
370,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
371,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
372,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
373,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
374,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
375,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
376,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
377,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
378,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
379,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
380,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
381,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
382,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,0,3,Asia
383,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,1/15/1949,1,3,Asia
384,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,12/31/1994,0,3,Asia
385,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,12/31/1994,1,3,Asia
386,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,2/23/1997,0,3,Asia
387,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,2/23/1997,1,3,Asia
388,Myanmar (Burma),Government of Myanmar (Burma),,"God's Army, KNU",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
389,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
390,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
391,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
392,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
393,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
394,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
395,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
396,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
397,Myanmar (Burma),Government of Myanmar (Burma),,KNU,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
398,Myanmar (Burma),Government of Myanmar (Burma),,"DKBA 5, KNU",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,0,3,Asia
399,Myanmar (Burma),Government of Myanmar (Burma),,"DKBA 5, KNU",,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,3/3/2000,1,3,Asia
400,Myanmar (Burma),Government of Myanmar (Burma),,DKBA 5,,1,Karen,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/31/1948,4/29/2013,1,3,Asia
401,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, CPB-RF, PVO - ""White Band"" faction",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
402,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, CPB-RF, PVO - ""White Band"" faction",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
403,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, CPB-RF, PVO - ""White Band"" faction",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
404,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, PVO - ""White Band"" faction",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
405,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, PVO - ""White Band"" faction",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
406,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, PVO - ""White Band"" faction",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
407,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
408,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
409,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
410,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
411,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
412,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
413,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
414,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
415,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
416,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
417,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
418,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
419,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
420,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
421,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
422,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
423,Myanmar (Burma),Government of Myanmar (Burma),,"CPB, CPB-RF",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
424,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
425,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
426,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
427,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
428,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
429,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
430,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
431,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
432,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
433,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
434,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
435,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
436,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
437,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
438,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
439,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
440,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,0,3,Asia
441,Myanmar (Burma),Government of Myanmar (Burma),,CPB,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,2/29/1948,1,3,Asia
442,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,12/31/1990,0,3,Asia
443,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,12/31/1990,0,3,Asia
444,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,12/31/1990,1,3,Asia
445,Myanmar (Burma),Government of Myanmar (Burma),,ABSDF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,12/31/1994,1,3,Asia
446,Myanmar (Burma),Government of Myanmar (Burma),,PSLF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,11/15/2013,0,3,Asia
447,Myanmar (Burma),Government of Myanmar (Burma),,PSLF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,11/15/2013,0,3,Asia
448,Myanmar (Burma),Government of Myanmar (Burma),,PSLF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,11/15/2013,1,3,Asia
449,Myanmar (Burma),Government of Myanmar (Burma),,PSLF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,4/29/2017,0,3,Asia
450,Myanmar (Burma),Government of Myanmar (Burma),,PSLF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,4/29/2017,0,3,Asia
451,Myanmar (Burma),Government of Myanmar (Burma),,PSLF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/29/1948,4/29/2017,1,3,Asia
452,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
453,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
454,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
455,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
456,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
457,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
458,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
459,Myanmar (Burma),Government of Myanmar (Burma),,"APLP, Mujahid Party",,1,Arakan,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/31/1948,1/31/1948,0,3,Asia
